cityId,stateId,en_name,lat,lng,state_name,country_name
329,1,Akarawita,6.95,80.1,Western,Sri Lanka
330,1,Ambalangoda,6.77533,79.96413,Western,Sri Lanka
331,1,Athurugiriya,6.873072,79.997214,Western,Sri Lanka
332,1,Avissawella,6.955003,80.211692,Western,Sri Lanka
333,1,Batawala,6.877924,80.051592,Western,Sri Lanka
334,1,Battaramulla,6.900299,79.922136,Western,Sri Lanka
335,1,Biyagama,6.9408,79.9889,Western,Sri Lanka
336,1,Bope,6.8333,80.1167,Western,Sri Lanka
337,1,Boralesgamuwa,6.8425,79.9006,Western,Sri Lanka
338,1,Colombo 8,6.914722,79.877778,Western,Sri Lanka
339,1,Dedigamuwa,6.9115,80.0622,Western,Sri Lanka
340,1,Dehiwala,6.856387,79.865156,Western,Sri Lanka
341,1,Deltara,6.7833,79.9167,Western,Sri Lanka
342,1,Habarakada,6.882518,80.017704,Western,Sri Lanka
343,1,Hanwella,6.905988,80.083333,Western,Sri Lanka
344,1,Hiripitya,6.85,79.95,Western,Sri Lanka
345,1,Hokandara,6.890237,79.969894,Western,Sri Lanka
346,1,Homagama,6.85685,80.005384,Western,Sri Lanka
347,1,Horagala,6.807635,80.066995,Western,Sri Lanka
348,1,Kaduwela,6.930497,79.984817,Western,Sri Lanka
349,1,Kaluaggala,6.9167,80.1,Western,Sri Lanka
350,1,Kapugoda,6.9486,80.1,Western,Sri Lanka
351,1,Kehelwatta,6.75,79.9167,Western,Sri Lanka
352,1,Kiriwattuduwa,6.804157,80.009759,Western,Sri Lanka
353,1,Kolonnawa,6.933035,79.888095,Western,Sri Lanka
354,1,Kosgama,6.9333,80.1411,Western,Sri Lanka
355,1,Madapatha,6.766824,79.930103,Western,Sri Lanka
356,1,Maharagama,6.843401,79.932766,Western,Sri Lanka
357,1,Malabe,6.901241,79.958072,Western,Sri Lanka
358,1,Moratuwa,6.7733,79.8825,Western,Sri Lanka
359,1,Mount Lavinia,6.838864,79.863141,Western,Sri Lanka
360,1,Mullegama,6.887403,80.012959,Western,Sri Lanka
361,1,Napawela,6.9531,80.2183,Western,Sri Lanka
362,1,Nugegoda,6.877563,79.886231,Western,Sri Lanka
363,1,Padukka,6.837834,80.090301,Western,Sri Lanka
364,1,Pannipitiya,6.843999,79.944518,Western,Sri Lanka
365,1,Piliyandala,6.7981,79.9264,Western,Sri Lanka
366,1,Pitipana Homagama,6.8477,80.016,Western,Sri Lanka
367,1,Polgasowita,6.7842,79.9811,Western,Sri Lanka
368,1,Pugoda,6.9703,80.1222,Western,Sri Lanka
369,1,Ranala,6.915253,80.032962,Western,Sri Lanka
370,1,Siddamulla,6.815785,79.955978,Western,Sri Lanka
371,1,Siyambalagoda,6.800041,79.966845,Western,Sri Lanka
372,1,Sri Jayawardenepu,6.8897,79.9359,Western,Sri Lanka
373,1,Talawatugoda,6.8692,79.9411,Western,Sri Lanka
374,1,Tummodara,6.9061,80.1353,Western,Sri Lanka
375,1,Waga,6.9061,80.1353,Western,Sri Lanka
376,1,Colombo 6,6.874657,79.860483,Western,Sri Lanka
1002,1,Colombo 2,6.926944,79.848611,Western,Sri Lanka
1124,1,Colombo 13,6.942778,79.858611,Western,Sri Lanka
1837,1,Colombo 1,6.925833,79.841667,Western,Sri Lanka
1838,1,Colombo 3,6.900556,79.853333,Western,Sri Lanka
